,MOFname,cp,edge_group_selfie,node_selfie,topo,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens,edge_smile
0,unc_N256_edge41279,0.8189047421723655,[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0],[O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C],unc,"[64, 61, 52, 60, 61, 51, 52, 60, 28, 72, 68, 69, 72, 28, 72, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,[O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],"[48, 7, 20, 22, 34, 48, 65, 48, 22, 20, 22, 34, 48, 65, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 48, 22, 20, 22, 34, 48, 54, 7, 4, 100]",34,[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],"[89, 75, 58, 74, 75, 57, 58, 74, 32, 148, 110, 111, 148, 32, 148, 89, 8, 104, 58, 72, 75, 90, 104, 122, 104, 75, 72, 75, 90, 104, 122, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 104, 75, 72, 75, 90, 104, 110, 58, 6, 158]",52,[Fr]C1=C([Fr])C(n2ccnc2)=C1n1ccnc1
1,cag_N158_edge136329,0.8525987818779995,[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P],[Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N],cag,"[67, 61, 52, 60, 61, 65, 60, 61, 68, 68, 72, 61, 60, 64, 72, 68, 51, 72, 61, 60, 64, 72, 67]",23,[Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],"[34, 22, 22, 7, 45, 21, 55, 1, 47, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 22, 22, 12, 54, 45, 4, 71]",53,[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],"[105, 75, 58, 74, 75, 101, 74, 75, 110, 110, 148, 75, 74, 89, 148, 110, 57, 148, 75, 74, 89, 148, 105, 8, 90, 75, 75, 58, 101, 73, 111, 1, 103, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 75, 75, 63, 110, 101, 6, 128]",78,PC1=C(C(P)[Fr])C2CN2C1[Fr]
2,lvt-a_N440_edge30957,0.4419488496448764,[Br][C][Branch][C][N][Branch][C][Branch][C][Branch][Br][pop][Branch][Br][pop][Ring1][Branch][pop][Branch][Br][pop][Br][pop][FrH0][pop][FrH0],[ClH0][Co][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C],lvt-a,"[59, 61, 60, 61, 65, 60, 61, 60, 61, 60, 59, 72, 60, 59, 72, 68, 60, 72, 60, 59, 72, 59, 72, 64, 72, 64]",26,[ClH0][Co][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][lvt-a],"[25, 26, 48, 22, 20, 22, 34, 48, 26, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 48, 22, 20, 22, 34, 48, 54, 7, 4, 85]",29,[Br][C][Branch][C][N][Branch][C][Branch][C][Branch][Br][pop][Branch][Br][pop][Ring1][Branch][pop][Branch][Br][pop][Br][pop][FrH0][pop][FrH0][.][ClH0][Co][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][lvt-a],"[71, 75, 74, 75, 101, 74, 75, 74, 75, 74, 71, 148, 74, 71, 148, 110, 74, 148, 74, 71, 148, 71, 148, 89, 148, 89, 8, 78, 80, 104, 75, 72, 75, 90, 104, 80, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 104, 75, 72, 75, 90, 104, 110, 58, 6, 142]",57,BrC1([Fr])CN([Fr])C(Br)(Br)C1(Br)Br
3,srs_N315_edge85513,0.8041800912990285,[:0alkene][C][C][=C][Branch][C][Branch][C][Ring1][Ring2][pop][=C][=C][FrH0][pop][FrH0][pop],[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],srs,"[7, 61, 61, 52, 60, 61, 60, 61, 68, 69, 72, 52, 52, 64, 72, 64, 72]",17,[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],"[34, 22, 22, 7, 45, 20, 20, 22, 22, 11, 5, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 4, 97]",35,[:0alkene][C][C][=C][Branch][C][Branch][C][Ring1][Ring2][pop][=C][=C][FrH0][pop][FrH0][pop][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],"[11, 75, 75, 58, 74, 75, 74, 75, 110, 111, 148, 58, 58, 89, 148, 89, 148, 8, 90, 75, 75, 58, 101, 72, 72, 75, 75, 62, 55, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 6, 155]",54,O=CC1=C([Fr])C(=C=C[Fr])C1
4,utp_N246_edge172936,0.791115584016288,[:0alkene][C][C][N][Branch][C][Branch][C][Branch][C][=Branch][=S][Branch][:0alkene][pop][Ring1][=Branch][pop][FrH0][pop][Branch][:0alkene][pop][:0alkene][pop][=S][pop][FrH0][pop],[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O],utp,"[7, 61, 61, 65, 60, 61, 60, 61, 60, 61, 51, 58, 60, 7, 72, 68, 51, 72, 64, 72, 60, 7, 72, 7, 72, 58, 72, 64, 72]",29,[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][utp],"[34, 22, 48, 65, 48, 22, 20, 22, 34, 48, 65, 20, 55, 48, 54, 6, 48, 22, 20, 22, 34, 48, 54, 48, 4, 102]",26,[:0alkene][C][C][N][Branch][C][Branch][C][Branch][C][=Branch][=S][Branch][:0alkene][pop][Ring1][=Branch][pop][FrH0][pop][Branch][:0alkene][pop][:0alkene][pop][=S][pop][FrH0][pop][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][utp],"[11, 75, 75, 101, 74, 75, 74, 75, 74, 75, 57, 64, 74, 11, 148, 110, 57, 148, 89, 148, 74, 11, 148, 11, 148, 64, 148, 89, 148, 8, 90, 75, 104, 122, 104, 75, 72, 75, 90, 104, 122, 72, 111, 104, 110, 56, 104, 75, 72, 75, 90, 104, 110, 104, 6, 160]",57,O=CC1N([Fr])C(=S)C(C=O)(C=O)C([Fr])=S1C=O
5,sod_N184_edge164700,0.863509228286742,[FrH0][C][=C][Branch][C][Branch][S][C][pop][C][=Branch][=C][=C][C][FrH0][pop][C][Ring1][=C][pop][S][C],[Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1],sod,"[64, 61, 52, 60, 61, 60, 71, 61, 72, 61, 51, 52, 52, 61, 64, 72, 61, 68, 52, 72, 71, 61]",22,[Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][sod],"[34, 22, 48, 23, 20, 55, 48, 54, 55, 20, 6, 48, 22, 20, 22, 34, 48, 54, 5, 20, 48, 45, 22, 7, 20, 22, 34, 45, 22, 54, 5, 45, 22, 7, 20, 22, 34, 45, 22, 54, 5, 4, 95]",43,[FrH0][C][=C][Branch][C][Branch][S][C][pop][C][=Branch][=C][=C][C][FrH0][pop][C][Ring1][=C][pop][S][C][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][sod],"[89, 75, 58, 74, 75, 74, 113, 75, 148, 75, 57, 58, 58, 75, 89, 148, 75, 110, 58, 148, 113, 75, 8, 90, 75, 104, 76, 72, 111, 104, 110, 111, 72, 56, 104, 75, 72, 75, 90, 104, 110, 55, 72, 104, 101, 75, 58, 72, 75, 90, 101, 75, 110, 55, 101, 75, 58, 72, 75, 90, 101, 75, 110, 55, 6, 153]",67,CSC1=C([Fr])CC(=C=CC[Fr])C1SC
6,lvt_N447_edge50011,0.9061100224574716,[FrH0][C][Branch][S][N][C][Branch][C][FrH0][pop][Branch][C][pop][C][pop][=Ring1][->][Branch],[Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2],lvt,"[64, 61, 60, 71, 65, 61, 60, 61, 64, 72, 60, 61, 72, 61, 72, 56, 4, 60]",18,[Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],"[34, 22, 7, 45, 22, 6, 5, 1, 7, 45, 20, 2, 22, 7, 20, 22, 34, 22, 7, 54, 1, 26, 54, 2, 21, 54, 6, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 7, 22, 7, 22, 20, 22, 34, 7, 45, 54, 3, 54, 1, 45, 22, 20, 3, 22, 7, 22, 7, 20, 22, 34, 22, 45, 55, 54, 21, 54, 1, 7, 22, 7, 20, 22, 34, 22, 54, 7, 22, 7, 55, 55, 2, 4, 86]",85,[FrH0][C][Branch][S][N][C][Branch][C][FrH0][pop][Branch][C][pop][C][pop][=Ring1][->][Branch][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],"[89, 75, 74, 113, 101, 75, 74, 75, 89, 148, 74, 75, 148, 75, 148, 62, 7, 74, 8, 90, 75, 58, 101, 75, 56, 55, 1, 58, 101, 72, 2, 75, 58, 72, 75, 90, 75, 58, 110, 1, 80, 110, 2, 73, 110, 56, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 58, 75, 58, 75, 72, 75, 90, 58, 101, 110, 4, 110, 1, 101, 75, 72, 4, 75, 58, 75, 58, 72, 75, 90, 75, 101, 111, 110, 73, 110, 1, 58, 75, 58, 72, 75, 90, 75, 110, 58, 75, 58, 111, 111, 2, 6, 143]",105,CC1(C)NSC([Fr])=C1[Fr]
7,unc_N328_edge24285,0.9651728464349996,[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][C][=C][Branch][O][FrH0][pop][P][Branch][C][pop][C],[Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C],unc,"[64, 61, 60, 67, 60, 61, 72, 61, 72, 61, 61, 52, 60, 66, 64, 72, 67, 60, 61, 72, 61]",21,[Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][unc],"[34, 22, 7, 45, 65, 21, 54, 48, 45, 22, 20, 7, 22, 45, 54, 20, 22, 7, 20, 22, 34, 22, 22, 11, 1, 7, 22, 22, 20, 22, 34, 7, 54, 7, 21, 54, 1, 45, 22, 5, 2, 7, 22, 22, 20, 22, 34, 7, 54, 1, 22, 55, 54, 21, 7, 22, 55, 54, 45, 45, 22, 20, 3, 22, 45, 55, 54, 8, 22, 7, 20, 22, 34, 22, 22, 11, 1, 7, 22, 22, 20, 22, 34, 7, 54, 7, 4, 100]",88,[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][C][=C][Branch][O][FrH0][pop][P][Branch][C][pop][C][.][Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][unc],"[89, 75, 74, 105, 74, 75, 148, 75, 148, 75, 75, 58, 74, 104, 89, 148, 105, 74, 75, 148, 75, 8, 90, 75, 58, 101, 122, 73, 110, 104, 101, 75, 72, 58, 75, 101, 110, 72, 75, 58, 72, 75, 90, 75, 75, 62, 1, 58, 75, 75, 72, 75, 90, 58, 110, 58, 73, 110, 1, 101, 75, 55, 2, 58, 75, 75, 72, 75, 90, 58, 110, 1, 75, 111, 110, 73, 58, 75, 111, 110, 101, 101, 75, 72, 4, 75, 101, 111, 110, 59, 75, 58, 72, 75, 90, 75, 75, 62, 1, 58, 75, 75, 72, 75, 90, 58, 110, 58, 6, 158]",111,CP(C)C(=CCC([Fr])P(C)C)O[Fr]
8,cds_N173_edge125012,0.603816600626647,[P][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][C][Branch][FrH0][pop][Branch][P][pop][P][pop][P],[Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1],cds,"[67, 61, 52, 61, 60, 61, 51, 52, 60, 64, 72, 68, 60, 72, 67, 72, 60, 66, 61, 60, 64, 72, 60, 67, 72, 67, 72, 67]",28,[Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],"[34, 22, 48, 35, 20, 55, 48, 54, 55, 48, 22, 20, 22, 34, 48, 35, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 54, 48, 22, 20, 22, 34, 48, 55, 54, 1, 4, 72]",58,[P][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][C][Branch][FrH0][pop][Branch][P][pop][P][pop][P][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],"[105, 75, 58, 75, 74, 75, 57, 58, 74, 89, 148, 110, 74, 148, 105, 148, 74, 104, 75, 74, 89, 148, 74, 105, 148, 105, 148, 105, 8, 90, 75, 104, 91, 72, 111, 104, 110, 111, 104, 75, 72, 75, 90, 104, 91, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 110, 104, 75, 72, 75, 90, 104, 111, 110, 1, 6, 129]",88,PC1=CC(P)(OC(P)(P)[Fr])C(P)=C1[Fr]
9,ths_N415_edge62104,0.8657773571410295,[FrH0][C][N][:0methyl_amine][Ring1][N][Branch][C][Branch][:0benzene][pop][Ring1][=Branch][pop][FrH0][pop],[Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1],ths,"[64, 61, 65, 16, 68, 65, 60, 61, 60, 9, 72, 68, 51, 72, 64, 72]",16,[Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],"[34, 22, 7, 22, 45, 20, 20, 22, 7, 54, 5, 14, 20, 45, 45, 22, 22, 7, 20, 22, 34, 22, 7, 54, 1, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 4, 99]",38,[FrH0][C][N][:0methyl_amine][Ring1][N][Branch][C][Branch][:0benzene][pop][Ring1][=Branch][pop][FrH0][pop][.][Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],"[89, 75, 101, 20, 110, 101, 74, 75, 74, 13, 148, 110, 57, 148, 89, 148, 8, 90, 75, 58, 75, 101, 72, 72, 75, 58, 110, 55, 65, 72, 101, 101, 75, 75, 58, 72, 75, 90, 75, 58, 110, 1, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 6, 157]",56,[Fr]C1NNCN([Fr])C1c1ccccc1
10,nbo_N715_edge50153,0.8251970706642521,[FrH0][N][C][=C][Branch][C][Branch][FrH0][pop][C][Ring1][=Branch][pop][S][C],[N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N],nbo,"[64, 65, 61, 52, 60, 61, 60, 64, 72, 61, 68, 51, 72, 71, 61]",15,[N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][nbo],"[45, 45, 22, 20, 22, 34, 45, 14, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 45, 22, 20, 22, 34, 45, 21, 55, 45, 22, 20, 22, 34, 45, 54, 1, 14, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 45, 55, 55, 1, 22, 55, 55, 48, 34, 45, 4, 88]",89,[FrH0][N][C][=C][Branch][C][Branch][FrH0][pop][C][Ring1][=Branch][pop][S][C][.][N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][nbo],"[89, 101, 75, 58, 74, 75, 74, 89, 148, 75, 110, 57, 148, 113, 75, 8, 101, 101, 75, 72, 75, 90, 101, 65, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 101, 75, 72, 75, 90, 101, 73, 111, 101, 75, 72, 75, 90, 101, 110, 1, 65, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 101, 111, 111, 1, 75, 111, 111, 104, 90, 101, 6, 145]",106,CSC1=CN([Fr])CC1[Fr]
