MOFname,GSA,edge_group_selfie,node_selfie,topo,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
lvt_N17_edge119847,0.0,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C],[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[64, 61, 60, 65, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 68, 60, 68, 69, 72, 64, 72, 71, 61, 72, 60, 71, 61, 72, 71, 61]",30,[O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[48, 28, 48, 22, 20, 22, 34, 48, 28, 54, 5, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",45,[FrH0][C][Branch][N][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][S][C][pop][Branch][S][C][pop][S][C][.][O][Cu][O][C][Branch1][C][Fr][O][Cu][Ring1][=Branch1][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[89, 75, 74, 101, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 110, 74, 110, 111, 148, 89, 148, 113, 75, 148, 74, 113, 75, 148, 113, 75, 8, 104, 82, 104, 75, 72, 75, 90, 104, 82, 110, 55, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",77
