MOFname,edge_group_selfie,node_selfie,topo,cp,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens
dia-f_N682_edge184758,[:0methyl_amine][Ring1][:1benzenealcohol][#Branch][C][=C][Branch][C][Ring1][Ring2][pop][FrH0][pop][Ring2][FrH0][pop][Ring1][:1methyl_amine][pop][Ring1][:1methyl_amine][pop][pop],[O][U][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C],dia-f,0.750379778,"[16, 68, 25, 1, 61, 52, 60, 61, 68, 69, 72, 64, 72, 69, 64, 72, 68, 29, 72, 68, 29, 72, 72]",23,[O][U][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][dia-f],"[48, 62, 20, 22, 48, 20, 6, 48, 22, 20, 22, 34, 48, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 48, 22, 20, 22, 34, 48, 54, 7, 4, 75]",35,[:0methyl_amine][Ring1][:1benzenealcohol][#Branch][C][=C][Branch][C][Ring1][Ring2][pop][FrH0][pop][Ring2][FrH0][pop][Ring1][:1methyl_amine][pop][Ring1][:1methyl_amine][pop][pop][.][O][U][Branch1][C][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][dia-f],"[20, 110, 29, 3, 75, 58, 74, 75, 110, 111, 148, 89, 148, 111, 89, 148, 110, 33, 148, 110, 33, 148, 148, 8, 104, 119, 72, 75, 104, 72, 56, 104, 75, 72, 75, 90, 104, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 104, 75, 72, 75, 90, 104, 110, 58, 6, 132]",60
sxb_N447_edge138942,[O][C][Branch][C][Branch][C][C][Branch][C][Branch][O][FrH0][pop][C][=S][pop][C][=S][pop][=C][S][pop][Branch][O][FrH0][pop][C][=S],[Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2],sxb,0.847293021,"[66, 61, 60, 61, 60, 61, 61, 60, 61, 60, 66, 64, 72, 61, 58, 72, 61, 58, 72, 52, 71, 72, 60, 66, 64, 72, 61, 58]",28,[Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][sxb],"[34, 22, 7, 45, 22, 6, 5, 1, 7, 45, 20, 2, 22, 7, 20, 22, 34, 22, 7, 54, 1, 26, 54, 2, 21, 54, 6, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 7, 22, 7, 22, 20, 22, 34, 7, 45, 54, 3, 54, 1, 45, 22, 20, 3, 22, 7, 22, 7, 20, 22, 34, 22, 45, 55, 54, 21, 54, 1, 7, 22, 7, 20, 22, 34, 22, 54, 7, 22, 7, 55, 55, 2, 4, 98]",85,[O][C][Branch][C][Branch][C][C][Branch][C][Branch][O][FrH0][pop][C][=S][pop][C][=S][pop][=C][S][pop][Branch][O][FrH0][pop][C][=S][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][sxb],"[104, 75, 74, 75, 74, 75, 75, 74, 75, 74, 104, 89, 148, 75, 64, 148, 75, 64, 148, 58, 113, 148, 74, 104, 89, 148, 75, 64, 8, 90, 75, 58, 101, 75, 56, 55, 1, 58, 101, 72, 2, 75, 58, 72, 75, 90, 75, 58, 110, 1, 80, 110, 2, 73, 110, 56, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 58, 75, 58, 75, 72, 75, 90, 58, 101, 110, 4, 110, 1, 101, 75, 72, 4, 75, 58, 75, 58, 72, 75, 90, 75, 101, 111, 110, 73, 110, 1, 58, 75, 58, 72, 75, 90, 75, 110, 58, 75, 58, 111, 111, 2, 6, 156]",115
utp_N485_edge120252,[N][C][Branch][C][Branch][O][C][pop][Branch][C][FrH0][pop][C][=C][C][FrH0][pop][C][Branch][O][C][pop][O][C],[Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C],utp,0.999077926,"[65, 61, 60, 61, 60, 66, 61, 72, 60, 61, 64, 72, 61, 52, 61, 64, 72, 61, 60, 66, 61, 72, 66, 61]",24,[Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utp],"[34, 22, 7, 20, 22, 22, 45, 45, 21, 55, 1, 28, 45, 45, 20, 8, 22, 5, 6, 7, 20, 22, 34, 22, 54, 5, 22, 22, 28, 45, 45, 20, 8, 22, 5, 6, 7, 20, 22, 34, 22, 54, 5, 22, 22, 28, 55, 54, 20, 22, 55, 54, 6, 22, 4, 102]",56,[N][C][Branch][C][Branch][O][C][pop][Branch][C][FrH0][pop][C][=C][C][FrH0][pop][C][Branch][O][C][pop][O][C][.][Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utp],"[101, 75, 74, 75, 74, 104, 75, 148, 74, 75, 89, 148, 75, 58, 75, 89, 148, 75, 74, 104, 75, 148, 104, 75, 8, 90, 75, 58, 72, 75, 75, 101, 101, 73, 111, 1, 82, 101, 101, 72, 59, 75, 55, 56, 58, 72, 75, 90, 75, 110, 55, 75, 75, 82, 101, 101, 72, 59, 75, 55, 56, 58, 72, 75, 90, 75, 110, 55, 75, 75, 82, 111, 110, 72, 75, 111, 110, 56, 75, 6, 160]",82
utp_N606_edge109816,[:0alkene][C][C][=C][Branch][C][=Branch][=C][N][Branch][N][Ring1][=Branch][pop][FrH0][pop][FrH0][pop][:0alkene][pop],[Fr][C][=C][C][=C][N][Branch2][Ring1][#Branch2][Co][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][C][Ring2][Ring1][Branch1],utp,0.893163569,"[7, 61, 61, 52, 60, 61, 51, 52, 65, 60, 65, 68, 51, 72, 64, 72, 64, 72, 7, 72]",20,[Fr][C][=C][C][=C][N][Branch2][Ring1][#Branch2][Co][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][C][Ring2][Ring1][Branch1][&&][utp],"[34, 22, 7, 22, 7, 45, 21, 54, 2, 26, 20, 45, 45, 22, 7, 22, 7, 20, 22, 34, 22, 54, 1, 45, 22, 7, 22, 7, 20, 22, 34, 22, 54, 1, 22, 55, 54, 20, 4, 102]",40,[:0alkene][C][C][=C][Branch][C][=Branch][=C][N][Branch][N][Ring1][=Branch][pop][FrH0][pop][FrH0][pop][:0alkene][pop][.][Fr][C][=C][C][=C][N][Branch2][Ring1][#Branch2][Co][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][C][Ring2][Ring1][Branch1][&&][utp],"[11, 75, 75, 58, 74, 75, 57, 58, 101, 74, 101, 110, 57, 148, 89, 148, 89, 148, 11, 148, 8, 90, 75, 58, 75, 58, 101, 73, 110, 2, 80, 72, 101, 101, 75, 58, 75, 58, 72, 75, 90, 75, 110, 1, 101, 75, 58, 75, 58, 72, 75, 90, 75, 110, 1, 75, 111, 110, 72, 6, 160]",62
pcu_N559_edge67492,[FrH0][C][=C][C][Branch][N][Branch][FrH0][pop][N][Ring1][=Branch][pop][Branch][:0propyl][pop][:0propyl],[Fr][C][=N][Cr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr],pcu,1.173772483,"[64, 61, 52, 61, 60, 65, 60, 64, 72, 65, 68, 51, 72, 60, 19, 72, 19]",17,[Fr][C][=N][Cr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][pcu],"[34, 22, 8, 27, 20, 55, 45, 7, 34, 20, 55, 45, 7, 34, 20, 55, 45, 7, 34, 20, 55, 45, 7, 34, 45, 7, 34, 4, 90]",29,[FrH0][C][=C][C][Branch][N][Branch][FrH0][pop][N][Ring1][=Branch][pop][Branch][:0propyl][pop][:0propyl][.][Fr][C][=N][Cr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][pcu],"[89, 75, 58, 75, 74, 101, 74, 89, 148, 101, 110, 57, 148, 74, 23, 148, 23, 8, 90, 75, 59, 81, 72, 111, 101, 58, 90, 72, 111, 101, 58, 90, 72, 111, 101, 58, 90, 72, 111, 101, 58, 90, 101, 58, 90, 6, 147]",48
ths_N315_edge3593,[O][C][=N][C][Branch][C][C][Branch][FrH0][pop][Branch][O][pop][Ring1][Branch][pop][FrH0],[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],ths,0.810565632,"[66, 61, 53, 61, 60, 61, 61, 60, 64, 72, 60, 66, 72, 68, 60, 72, 64]",17,[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][ths],"[34, 22, 22, 7, 45, 20, 20, 22, 22, 11, 5, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 4, 99]",35,[O][C][=N][C][Branch][C][C][Branch][FrH0][pop][Branch][O][pop][Ring1][Branch][pop][FrH0][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][ths],"[104, 75, 59, 75, 74, 75, 75, 74, 89, 148, 74, 104, 148, 110, 74, 148, 89, 8, 90, 75, 75, 58, 101, 72, 72, 75, 75, 62, 55, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 6, 157]",54
ths_N125_edge50444,[FrH0][N][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][Branch][S][C][pop][Ring1][O][pop][S][C],[Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2],ths,0.819250293,"[64, 65, 61, 52, 60, 61, 60, 71, 61, 72, 60, 64, 72, 61, 60, 71, 61, 72, 68, 66, 72, 71, 61]",23,[Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][ths],"[34, 22, 48, 28, 48, 22, 20, 22, 34, 48, 28, 21, 54, 3, 48, 22, 20, 22, 34, 48, 28, 20, 55, 48, 54, 7, 20, 6, 48, 22, 20, 22, 34, 48, 54, 56, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 21, 4, 99]",55,[FrH0][N][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][Branch][S][C][pop][Ring1][O][pop][S][C][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][ths],"[89, 101, 75, 58, 74, 75, 74, 113, 75, 148, 74, 89, 148, 75, 74, 113, 75, 148, 110, 104, 148, 113, 75, 8, 90, 75, 104, 82, 104, 75, 72, 75, 90, 104, 82, 73, 110, 4, 104, 75, 72, 75, 90, 104, 82, 72, 111, 104, 110, 58, 72, 56, 104, 75, 72, 75, 90, 104, 110, 113, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 73, 6, 157]",80
unc_N715_edge62507,[:0isocyanate][C][C][N][Branch][C][N][Branch][N][Branch][C][Branch][:0isocyanate][pop][Branch][FrH0][pop][Ring1][=Branch][pop][:0isocyanate][pop][:0isocyanate][pop][FrH0][pop],[N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N],unc,0.823706969,"[14, 61, 61, 65, 60, 61, 65, 60, 65, 60, 61, 60, 14, 72, 60, 64, 72, 68, 51, 72, 14, 72, 14, 72, 64, 72]",26,[N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][unc],"[45, 45, 22, 20, 22, 34, 45, 14, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 45, 22, 20, 22, 34, 45, 21, 55, 45, 22, 20, 22, 34, 45, 54, 1, 14, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 20, 45, 45, 22, 7, 20, 22, 34, 22, 7, 22, 54, 1, 45, 55, 55, 1, 22, 55, 55, 48, 34, 45, 4, 100]",89,[:0isocyanate][C][C][N][Branch][C][N][Branch][N][Branch][C][Branch][:0isocyanate][pop][Branch][FrH0][pop][Ring1][=Branch][pop][:0isocyanate][pop][:0isocyanate][pop][FrH0][pop][.][N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][unc],"[18, 75, 75, 101, 74, 75, 101, 74, 101, 74, 75, 74, 18, 148, 74, 89, 148, 110, 57, 148, 18, 148, 18, 148, 89, 148, 8, 101, 101, 75, 72, 75, 90, 101, 65, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 101, 75, 72, 75, 90, 101, 73, 111, 101, 75, 72, 75, 90, 101, 110, 1, 65, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 72, 101, 101, 75, 58, 72, 75, 90, 75, 58, 75, 110, 1, 101, 111, 111, 1, 75, 111, 111, 104, 90, 101, 6, 158]",117
sxb_N101_edge92547,[:0nitrile][C][C][=C][C][Branch][C][=C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][:0nitrile][pop][Branch][:0nitrile][pop][FrH0][pop],[O][=C][Branch1][C][Fr][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N],sxb,0.704332054,"[17, 61, 61, 52, 61, 60, 61, 52, 60, 65, 60, 64, 72, 68, 51, 72, 17, 72, 60, 17, 72, 64, 72]",23,[O][=C][Branch1][C][Fr][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sxb],"[48, 7, 20, 22, 34, 48, 29, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 48, 22, 20, 22, 34, 48, 29, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 20, 6, 48, 22, 20, 22, 34, 48, 54, 6, 48, 22, 20, 22, 34, 48, 54, 8, 4, 98]",54,[:0nitrile][C][C][=C][C][Branch][C][=C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][:0nitrile][pop][Branch][:0nitrile][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sxb],"[21, 75, 75, 58, 75, 74, 75, 58, 74, 101, 74, 89, 148, 110, 57, 148, 21, 148, 74, 21, 148, 89, 148, 8, 104, 58, 72, 75, 90, 104, 83, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 104, 75, 72, 75, 90, 104, 83, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 72, 56, 104, 75, 72, 75, 90, 104, 110, 56, 104, 75, 72, 75, 90, 104, 110, 59, 6, 156]",79
cds_N556_edge141469,[Cl][C][C][Branch][C][Branch][C][Branch][C][=C][FrH0][pop][Branch][Cl][pop][Cl][pop][Branch][FrH0][pop][Ring1][Ring1][pop][Branch][Cl][pop][Cl],[Fr][C][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring2][Ring1][=Branch2],cds,0.5430181,"[62, 61, 61, 60, 61, 60, 61, 60, 61, 52, 64, 72, 60, 62, 72, 62, 72, 60, 64, 72, 68, 68, 72, 60, 62, 72, 62]",27,[Fr][C][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring2][Ring1][=Branch2][&&][cds],"[34, 22, 48, 18, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 21, 55, 20, 48, 22, 20, 22, 34, 48, 18, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 22, 48, 22, 20, 22, 34, 48, 54, 8, 48, 55, 54, 6, 4, 72]",59,[Cl][C][C][Branch][C][Branch][C][Branch][C][=C][FrH0][pop][Branch][Cl][pop][Cl][pop][Branch][FrH0][pop][Ring1][Ring1][pop][Branch][Cl][pop][Cl][.][Fr][C][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Bi][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring2][Ring1][=Branch2][&&][cds],"[79, 75, 75, 74, 75, 74, 75, 74, 75, 58, 89, 148, 74, 79, 148, 79, 148, 74, 89, 148, 110, 110, 148, 74, 79, 148, 79, 8, 90, 75, 104, 69, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 73, 111, 72, 104, 75, 72, 75, 90, 104, 69, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 75, 104, 75, 72, 75, 90, 104, 110, 59, 104, 111, 110, 56, 6, 129]",88
pcu_N533_edge3497,[:0alkene][C][C][=S][N][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop],[Fr][C][=C][C][Branch1][C][Fr][O][Fe][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][Branch2][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][#C][O][Ring2][Ring1][Branch1],pcu,0.814307928,"[7, 61, 61, 58, 65, 60, 65, 52, 60, 64, 72, 68, 60, 72, 64, 72]",16,[Fr][C][=C][C][Branch1][C][Fr][O][Fe][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][Branch2][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][#C][O][Ring2][Ring1][Branch1][&&][pcu],"[34, 22, 7, 22, 20, 22, 34, 48, 33, 20, 7, 48, 22, 20, 22, 34, 7, 22, 20, 22, 34, 48, 54, 21, 20, 7, 48, 22, 20, 22, 34, 7, 22, 20, 22, 34, 48, 54, 3, 48, 55, 54, 20, 4, 90]",45,[:0alkene][C][C][=S][N][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][.][Fr][C][=C][C][Branch1][C][Fr][O][Fe][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][Branch2][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][#C][O][Ring2][Ring1][Branch1][&&][pcu],"[11, 75, 75, 64, 101, 74, 101, 58, 74, 89, 148, 110, 74, 148, 89, 148, 8, 90, 75, 58, 75, 72, 75, 90, 104, 88, 72, 58, 104, 75, 72, 75, 90, 58, 75, 72, 75, 90, 104, 110, 73, 72, 58, 104, 75, 72, 75, 90, 58, 75, 72, 75, 90, 104, 110, 4, 104, 111, 110, 72, 6, 147]",63
